Ticker,Name,Weight,Shares,Price
AA UN Equity,Alcoa Corp,--,--,36.47
INO UW Equity,Inovio Pharmaceuticals Inc,--,--,8.78
AXP UN Equity,American Express Co,--,--,169.56
VZ UN Equity,Verizon Communications Inc,--,--,56.41
SPWH UW Equity,Sportsman's Warehouse Holdings Inc,--,--,17.74
BA UN Equity,Boeing Co/The,--,--,236.14
SABR UW Equity,Sabre Corp,--,--,12.06
PEP UW Equity,PepsiCo Inc,--,--,149.13
CAT UN Equity,Caterpillar Inc,--,--,213.52
JPM UN Equity,JPMorgan Chase & Co,--,--,153.41
CVX UN Equity,Chevron Corp,--,--,103.99
APYX UW Equity,Apyx Medical Corp,--,--,10.14
KO UN Equity,Coca-Cola Co/The,--,--,53.88
DIS UN Equity,Walt Disney Co/The,--,--,173.69
AFMD UQ Equity,Affimed NV,--,--,7.07
XOM UN Equity,Exxon Mobil Corp,--,--,61.37
GE UN Equity,General Electric Co,--,--,12.92
HPQ UN Equity,HP Inc,--,--,30.18
FC UN Equity,Franklin Covey Co,--,--,36.13
HD UN Equity,Home Depot Inc/The,--,--,319.26
IBM UN Equity,International Business Machines Corp,--,--,138.78
GO UW Equity,Grocery Outlet Holding Corp,--,--,34.35
JNJ UN Equity,Johnson & Johnson,--,--,167.97
PSNL UQ Equity,Personalis Inc,--,--,24.46
MCD UN Equity,McDonald's Corp,--,--,232.75
RPD UQ Equity,Rapid7 Inc,--,--,100.05
MRK UN Equity,Merck & Co Inc,--,--,78.11
BCEL UW Equity,Atreca Inc,--,--,8.81
MMM UN Equity,3M Co,--,--,196.89
IMUX UW Equity,Immunic Inc,--,--,12.3
BAC UN Equity,Bank of America Corp,--,--,40.07
GSAT UA Equity,Globalstar Inc,--,--,1.75
AKRO UW Equity,Akero Therapeutics Inc,--,--,24.65
PFE UN Equity,Pfizer Inc,--,--,39.29
PG UN Equity,Procter & Gamble Co/The,--,--,135.98
T UN Equity,AT&T Inc,--,--,29.02
TRV UN Equity,Travelers Cos Inc/The,--,--,150.84
RTX UN Equity,Raytheon Technologies Corp,--,--,85.75
WMT UN Equity,Walmart Inc,--,--,139.94
CSCO UW Equity,Cisco Systems Inc/Delaware,--,--,52.98
INTC UW Equity,Intel Corp,--,--,56.09
MSFT UW Equity,Microsoft Corp,--,--,277.66
SAM UN Equity,Boston Beer Co Inc/The,--,--,927.92
C UN Equity,Citigroup Inc,--,--,68.21
AIG UN Equity,American International Group Inc,--,--,46.61
EFC UN Equity,Ellington Financial Inc,--,--,18.88
MO UN Equity,Altria Group Inc,--,--,46.67
CLPR UN Equity,Clipper Realty Inc,--,--,7.33
IP UN Equity,International Paper Co,--,--,60.38
ABT UN Equity,Abbott Laboratories,--,--,118.82
AFL UN Equity,Aflac Inc,--,--,53.27
APD UN Equity,Air Products and Chemicals Inc,--,--,286.72
GMED UN Equity,Globus Medical Inc,--,--,80
RETA UQ Equity,Reata Pharmaceuticals Inc,--,--,135.02
HES UN Equity,Hess Corp,--,--,85.18
DNB UN Equity,Dun & Bradstreet Holdings Inc,--,--,21.25
PSTX UW Equity,Poseida Therapeutics Inc,--,--,8.51
NKTX UW Equity,Nkarta Inc,--,--,29.32
ADM UN Equity,Archer-Daniels-Midland Co,--,--,59.45
ADP UW Equity,Automatic Data Processing Inc,--,--,201.11
AZO UN Equity,AutoZone Inc,--,--,1542.25
AVY UN Equity,Avery Dennison Corp,--,--,206.52
VRSK UW Equity,Verisk Analytics Inc,--,--,177.61
BLL UN Equity,Ball Corp,--,--,82.07
MBIO UQ Equity,Mustang Bio Inc,--,--,3.12
BK UN Equity,Bank of New York Mellon Corp/The,--,--,49.49
BAX UN Equity,Baxter International Inc,--,--,81.07
BDX UN Equity,Becton Dickinson and Co,--,--,249.35
BRK/B UN Equity,Berkshire Hathaway Inc,--,--,277.32
BBY UN Equity,Best Buy Co Inc,--,--,110.55
HRB UN Equity,H&R Block Inc,--,--,23.6
PRVA UW Equity,Privia Health Group Inc,--,--,43.99
BSX UN Equity,Boston Scientific Corp,--,--,43.62
ZTS UN Equity,Zoetis Inc,--,--,194.02
AVAH UW Equity,Aveanna Healthcare Holdings Inc,--,--,12.5
BMY UN Equity,Bristol-Myers Squibb Co,--,--,66.65
BF/B UN Equity,Brown-Forman Corp,--,--,74.21
COG UN Equity,Cabot Oil & Gas Corp,--,--,17
CPB UN Equity,Campbell Soup Co,--,--,45.54
CCL UN Equity,Carnival Corp,--,--,25.02
LUMN UN Equity,Lumen Technologies Inc,--,--,13.4
CLF UN Equity,Cleveland-Cliffs Inc,--,--,21.04
CLX UN Equity,Clorox Co/The,--,--,181.3
CMS UN Equity,CMS Energy Corp,--,--,59.81
CEIX UN Equity,CONSOL Energy Inc,--,--,16.74
CL UN Equity,Colgate-Palmolive Co,--,--,81.97
CMA UN Equity,Comerica Inc,--,--,69.08
CAG UN Equity,Conagra Brands Inc,--,--,35.89
ED UN Equity,Consolidated Edison Inc,--,--,72.94
BIG UN Equity,Big Lots Inc,--,--,62.86
GLW UN Equity,Corning Inc,--,--,40.42
CMI UN Equity,Cummins Inc,--,--,236.33
MEG UN Equity,Montrose Environmental Group Inc,--,--,48.16
DHR UN Equity,Danaher Corp,--,--,278.72
TGT UN Equity,Target Corp,--,--,245.45
DE UN Equity,Deere & Co,--,--,349.45
D UN Equity,Dominion Energy Inc,--,--,75.39
DOV UN Equity,Dover Corp,--,--,150.57
DUK UN Equity,Duke Energy Corp,--,--,99.83
ETN UN Equity,Eaton Corp PLC,--,--,149.7
ECL UN Equity,Ecolab Inc,--,--,209.48
UIHC UR Equity,United Insurance Holdings Corp,--,--,5.17
PKI UN Equity,PerkinElmer Inc,--,--,156.01
EMR UN Equity,Emerson Electric Co,--,--,95.7
EOG UN Equity,EOG Resources Inc,--,--,83.72
ETR UN Equity,Entergy Corp,--,--,102.31
EFX UN Equity,Equifax Inc,--,--,245.89
DMS UN Equity,Digital Media Solutions Inc,--,--,9.68
EQT UN Equity,EQT Corp,--,--,20.68
FDX UN Equity,FedEx Corp,--,--,294.61
M UN Equity,Macy's Inc,--,--,18.26
FMC UN Equity,FMC Corp,--,--,106.71
F UN Equity,Ford Motor Co,--,--,14.5
LNTH UQ Equity,Lantheus Holdings Inc,--,--,28.17
NEE UN Equity,NextEra Energy Inc,--,--,75.13
BEN UN Equity,Franklin Resources Inc,--,--,31.6
HASI UN Equity,Hannon Armstrong Sustainable Infrastruct,--,--,57.79
FCX UN Equity,Freeport-McMoRan Inc,--,--,36
ATCX UQ Equity,Atlas Technical Consultants Inc,--,--,9.2
TGNA UN Equity,TEGNA Inc,--,--,18.39
GPS UN Equity,Gap Inc/The,--,--,32.29
VALU UR Equity,Value Line Inc,--,--,30.7
GD UN Equity,General Dynamics Corp,--,--,186.91
GIS UN Equity,General Mills Inc,--,--,59.84
CELH UR Equity,Celsius Holdings Inc,--,--,72.92
BFLY UN Equity,Butterfly Network Inc,--,--,12.59
GPC UN Equity,Genuine Parts Co,--,--,127.44
GWW UN Equity,WW Grainger Inc,--,--,447.37
HAL UN Equity,Halliburton Co,--,--,22.23
HOG UN Equity,Harley-Davidson Inc,--,--,45.81
LHX UN Equity,L3Harris Technologies Inc,--,--,219.5
PEAK UN Equity,Healthpeak Properties Inc,--,--,33.97
HP UN Equity,Helmerich & Payne Inc,--,--,31.79
HSY UN Equity,Hershey Co/The,--,--,175.1
HRL UN Equity,Hormel Foods Corp,--,--,47.9
CNP UN Equity,CenterPoint Energy Inc,--,--,24.89
HUM UN Equity,Humana Inc,--,--,453.59
ITW UN Equity,Illinois Tool Works Inc,--,--,222.69
TT UN Equity,Trane Technologies PLC,--,--,184.98
IPG UN Equity,Interpublic Group of Cos Inc/The,--,--,32.39
IFF UN Equity,International Flavors & Fragrances Inc,--,--,147.91
J UN Equity,Jacobs Engineering Group Inc,--,--,131.74
