Ticker,Name,Weight,Shares,Price
AA UN Equity,Alcoa Corp,--,--,35.8
INO UW Equity,Inovio Pharmaceuticals Inc,--,--,9.23
AXP UN Equity,American Express Co,--,--,169.45
VZ UN Equity,Verizon Communications Inc,--,--,56.38
SPWH UW Equity,Sportsman's Warehouse Holdings Inc,--,--,17.7
BA UN Equity,Boeing Co/The,--,--,248.38
SABR UW Equity,Sabre Corp,--,--,13.16
PEP UW Equity,PepsiCo Inc,--,--,146.41
CAT UN Equity,Caterpillar Inc,--,--,216.31
JPM UN Equity,JPMorgan Chase & Co,--,--,154.05
CVX UN Equity,Chevron Corp,--,--,107.3
MBCN UR Equity,Middlefield Banc Corp,--,--,23.35
APYX UW Equity,Apyx Medical Corp,--,--,10.42
KO UN Equity,Coca-Cola Co/The,--,--,54.32
CFRX UR Equity,ContraFect Corp,--,--,4.58
DIS UN Equity,Walt Disney Co/The,--,--,178.35
AFMD UQ Equity,Affimed NV,--,--,8.24
XOM UN Equity,Exxon Mobil Corp,--,--,64.66
GE UN Equity,General Electric Co,--,--,13.16
HPQ UN Equity,HP Inc,--,--,29.71
FC UN Equity,Franklin Covey Co,--,--,32.69
HD UN Equity,Home Depot Inc/The,--,--,313.63
IBM UN Equity,International Business Machines Corp,--,--,146.84
GO UW Equity,Grocery Outlet Holding Corp,--,--,34.84
JNJ UN Equity,Johnson & Johnson,--,--,164.21
PSNL UQ Equity,Personalis Inc,--,--,26.59
MCD UN Equity,McDonald's Corp,--,--,232.42
RPD UQ Equity,Rapid7 Inc,--,--,95.73
MRK UN Equity,Merck & Co Inc,--,--,77.2
BCEL UW Equity,Atreca Inc,--,--,8.99
MMM UN Equity,3M Co,--,--,194.75
IMUX UW Equity,Immunic Inc,--,--,12.91
BAC UN Equity,Bank of America Corp,--,--,41.62
AKRO UW Equity,Akero Therapeutics Inc,--,--,27.64
PFE UN Equity,Pfizer Inc,--,--,38.98
PG UN Equity,Procter & Gamble Co/The,--,--,134.92
T UN Equity,AT&T Inc,--,--,28.89
TRV UN Equity,Travelers Cos Inc/The,--,--,151.72
RTX UN Equity,Raytheon Technologies Corp,--,--,86.72
WMT UN Equity,Walmart Inc,--,--,138.53
CSCO UW Equity,Cisco Systems Inc/Delaware,--,--,53.06
INTC UW Equity,Intel Corp,--,--,55.91
MSFT UW Equity,Microsoft Corp,--,--,265.02
SAM UN Equity,Boston Beer Co Inc/The,--,--,1035.22
C UN Equity,Citigroup Inc,--,--,71.55
AIG UN Equity,American International Group Inc,--,--,49.02
EFC UN Equity,Ellington Financial Inc,--,--,19.44
MO UN Equity,Altria Group Inc,--,--,47.62
CLPR UN Equity,Clipper Realty Inc,--,--,7.83
IP UN Equity,International Paper Co,--,--,60.68
ABT UN Equity,Abbott Laboratories,--,--,112.72
AFL UN Equity,Aflac Inc,--,--,54.22
APD UN Equity,Air Products and Chemicals Inc,--,--,288.54
GMED UN Equity,Globus Medical Inc,--,--,77.46
RETA UQ Equity,Reata Pharmaceuticals Inc,--,--,149.95
HES UN Equity,Hess Corp,--,--,89.32
DNB UN Equity,Dun & Bradstreet Holdings Inc,--,--,22.79
PSTX UW Equity,Poseida Therapeutics Inc,--,--,10.02
NKTX UW Equity,Nkarta Inc,--,--,29.41
ADM UN Equity,Archer-Daniels-Midland Co,--,--,61.46
ADP UW Equity,Automatic Data Processing Inc,--,--,197.36
AZO UN Equity,AutoZone Inc,--,--,1479.27
AVY UN Equity,Avery Dennison Corp,--,--,208.67
PINE UN Equity,Alpine Income Property Trust Inc,--,--,19.33
VRSK UW Equity,Verisk Analytics Inc,--,--,174.7
BLL UN Equity,Ball Corp,--,--,82.81
MBIO UQ Equity,Mustang Bio Inc,--,--,3.55
BK UN Equity,Bank of New York Mellon Corp/The,--,--,50.99
BAX UN Equity,Baxter International Inc,--,--,82.19
BDX UN Equity,Becton Dickinson and Co,--,--,241.2
BRK/B UN Equity,Berkshire Hathaway Inc,--,--,278.38
BBY UN Equity,Best Buy Co Inc,--,--,113.05
HRB UN Equity,H&R Block Inc,--,--,24.02
BSX UN Equity,Boston Scientific Corp,--,--,44.1
ZTS UN Equity,Zoetis Inc,--,--,187.23
BMY UN Equity,Bristol-Myers Squibb Co,--,--,66.74
BF/B UN Equity,Brown-Forman Corp,--,--,75.11
COG UN Equity,Cabot Oil & Gas Corp,--,--,16.82
CPB UN Equity,Campbell Soup Co,--,--,45.76
CCL UN Equity,Carnival Corp,--,--,28.13
LUMN UN Equity,Lumen Technologies Inc,--,--,14.05
BPRN UW Equity,Bank of Princeton/The,--,--,28.25
CLF UN Equity,Cleveland-Cliffs Inc,--,--,21.2
CLX UN Equity,Clorox Co/The,--,--,176.65
CMS UN Equity,CMS Energy Corp,--,--,60.13
CEIX UN Equity,CONSOL Energy Inc,--,--,17.84
CL UN Equity,Colgate-Palmolive Co,--,--,81.46
CMA UN Equity,Comerica Inc,--,--,73.68
CAG UN Equity,Conagra Brands Inc,--,--,35.65
ED UN Equity,Consolidated Edison Inc,--,--,73.87
BIG UN Equity,Big Lots Inc,--,--,65.52
GLW UN Equity,Corning Inc,--,--,40.9
CMI UN Equity,Cummins Inc,--,--,240.85
MEG UN Equity,Montrose Environmental Group Inc,--,--,52.24
DHR UN Equity,Danaher Corp,--,--,266.56
TGT UN Equity,Target Corp,--,--,240.55
DE UN Equity,Deere & Co,--,--,349.99
D UN Equity,Dominion Energy Inc,--,--,75.11
DOV UN Equity,Dover Corp,--,--,149.31
DUK UN Equity,Duke Energy Corp,--,--,99.72
ETN UN Equity,Eaton Corp PLC,--,--,146.69
ECL UN Equity,Ecolab Inc,--,--,207.48
UIHC UR Equity,United Insurance Holdings Corp,--,--,5.8
PKI UN Equity,PerkinElmer Inc,--,--,152.43
EMR UN Equity,Emerson Electric Co,--,--,96
EOG UN Equity,EOG Resources Inc,--,--,87.65
ETR UN Equity,Entergy Corp,--,--,101.58
EFX UN Equity,Equifax Inc,--,--,238.99
EQT UN Equity,EQT Corp,--,--,22.03
FDX UN Equity,FedEx Corp,--,--,291.95
M UN Equity,Macy's Inc,--,--,19.62
FMC UN Equity,FMC Corp,--,--,112.01
F UN Equity,Ford Motor Co,--,--,15.19
LNTH UQ Equity,Lantheus Holdings Inc,--,--,27.2
NEE UN Equity,NextEra Energy Inc,--,--,73.86
CATB UQ Equity,Catabasis Pharmaceuticals Inc,--,--,2.15
BEN UN Equity,Franklin Resources Inc,--,--,33.18
HASI UN Equity,Hannon Armstrong Sustainable Infrastruct,--,--,57.26
FCX UN Equity,Freeport-McMoRan Inc,--,--,37.24
FENC UR Equity,Fennec Pharmaceuticals Inc,--,--,7.39
TGNA UN Equity,TEGNA Inc,--,--,18.87
GPS UN Equity,Gap Inc/The,--,--,33.99
VALU UR Equity,Value Line Inc,--,--,31.23
