Ticker,Oprice,Odate,Cprice,Cdate,Weighted
WFC,24.072,10/02/20,24.771,10/14/20,1
UAL,34.925,10/01/20,35.65,10/15/20,1
ISRG,703.715,10/01/20,752.78,10/15/20,1
SLB,15.781,09/30/20,16.32,10/16/20,1
KALU,58.07,10/07/20,64.29,10/21/20,1
PTEN,2.716,10/06/20,2.595,10/22/20,1
VLY,7.633,10/07/20,7.623,10/22/20,1
FFBC,11.947,09/30/20,13.81,10/22/20,1
INDB,52.489,10/01/20,54.96,10/23/20,1
VRTS,154.4,10/08/20,168.12,10/23/20,1
MNRO,43.051,10/05/20,43.39,10/28/20,1
BA,171.494,10/05/20,156.14,10/28/20,1
ALGT,121.353,10/08/20,123.74,10/28/20,1
BLKB,57.173,10/06/20,57.75,10/28/20,1
PSB,127.264,10/05/20,111.664,10/28/20,1
FCN,114.515,10/15/20,110.044,10/29/20,1
SAFT,68.453,10/09/20,69.95,10/30/20,1
OHI,31.474,10/12/20,29.71,10/29/20,1
CVX,73.48,10/15/20,68.651,10/30/20,1
XOM,34.371,10/15/20,32.92,10/30/20,1
RGS,7.134,10/14/20,5.51,11/02/20,1
NNN,35.38,10/13/20,31.83,11/02/20,1
AMCX,24.637,10/12/20,20.791,11/02/20,1
CLH,59.066,10/09/20,55.99,11/04/20,1
HLT,94.931,10/23/20,91.27,11/04/20,1
EPR,24.666,10/06/20,25.28,11/04/20,1
WWD,78.507,10/29/20,88.36,11/18/20,1
SJI,19.959,10/20/20,19.72,11/04/20,1
JBGS,26.077,10/16/20,24.1,11/05/20,1
NWN,45.573,10/19/20,44.18,11/05/20,1
CCOI,58.49,10/21/20,57.59,11/05/20,1
ECOL,34.07,10/22/20,34.11,11/05/20,1
ED,81.753,10/23/20,80.12,11/05/20,1
UE,9.84,10/19/20,9.661,11/05/20,1
SVC,7.673,10/26/20,7.769,11/09/20,1
SPG,61.218,10/28/20,79.14,11/09/20,1
DDS,45.941,11/05/20,49.42,11/12/20,1
KSS,20.584,11/02/20,26.04,11/17/20,1
M,6.7,11/06/20,9.084,11/19/20,1
MATW,24.106,11/09/20,28,11/19/20,1
ESE,98.315,11/10/20,98,11/20/20,1
RAVN,23.43,11/13/20,24.2,11/26/20,1
CPB,49.52,11/17/20,50.25,12/09/20,1
THO,96.34,11/27/20,99.13,12/08/20,1
CCL,20.163,12/01/20,21.75,12/16/20,1
CTAS,348.795,12/11/20,347,12/21/20,1
SLB,23.246,01/05/21,25.45,01/14/21,1
NEE,74.25,01/04/21,87,01/25/21,2
AAPL,127.5,01/06/21,140.53,01/28/21,1
LRN,21.737,01/07/21,26.14,01/26/21,1
BXP,89.893,01/08/21,92.75,01/26/21,2
ROL,40.959,01/11/21,37.3,01/26/21,1
BA,208.767,01/12/21,202.96,01/26/21,1
OSK,95.185,01/14/21,92.42,01/26/21,1
MAC,14.569,01/19/21,22.29,01/27/21,1.02
LUMN,11.42,01/25/21,13.25,01/26/21,1.91
EBAY,54.226,01/11/21,58.47,02/03/21,1
ATO,90.099,01/15/21,88.65,02/02/21,1
AFG,88.117,01/15/21,92.23,02/03/21,1
MDP,19.112,01/20/21,22.48,02/03/21,0.92
OMF,50.265,01/22/21,54.955,02/08/21,0.98
AAT,28.709,01/26/21,29.249,02/09/21,1.96
ACLS,37.506,01/27/21,38.3,02/10/21,2
TPX,26.928,01/27/21,29.59,02/10/21,1.92
FRT,87.664,01/28/21,96.189,02/11/21,2
OKE,42.855,02/05/21,45.275,02/22/21,1.96
SPR,38.837,02/11/21,39.852,02/22/21,2.24
SJI,23.649,02/09/21,25.171,02/24/21,2.24
NWN,46.704,02/10/21,49.09,02/25/21,2.24
JWN,34.91,02/12/21,38.203,03/01/21,2.02
PLCE,69.382,02/26/21,71.17,03/12/21,1.93
SHW,255.04,04/09/21,273.92,04/26/21,1.67
APH,68.91,04/06/21,68.8,04/26/21,2
HELE,217.53,04/08/21,226.39,04/26/21,1.7
BAND,126.94,04/12/21,118.44,05/04/21,1.9
ROL,35.03,04/13/21,35.8,04/26/21,1.87
GLPI,44.89,04/14/21,45.94,04/26/21,1.73
AWK,159.1,04/15/21,159.36,04/26/21,1.77
SPT,57.84,04/20/21,64.13,04/26/21,1.9
RCII,54.92,04/21/21,56.25,04/26/21,1.8
KOD,120.54,04/23/21,83.755,05/20/21,1.7
GRWG,44.89,04/27/21,36.635,05/12/21,1.7
BLFS,34.79,04/28/21,29.53,05/13/21,1.7
HLNE,86.37,05/12/21,91.4,05/24/21,1.9
MDB,261.71,05/14/21,295.99,05/26/21,1.67
COUP,233.79,05/21/21,239.625,05/26/21,1.73
MDLA,24.75,05/14/21,25.29,05/26/21,1
MU,77,06/18/21,82.39,06/30/21,1.5
CDNS,137.1,06/28/21,145.78,07/23/21,1.5
ARD,24.52,06/30/21,23.54,08/03/21,1
BKR,23.54,07/01/21,20.04,07/20/21,1.5
GBCI,55.24,07/02/21,52.52,07/21/21,1
AMD,94.47,07/06/21,91.82,07/26/21,1
SSSS,13.36,07/08/21,15.028,08/09/21,1
SSSS,12.54,08/04/21,15.77,08/11/21,1
NOVA,37.68,07/07/21,35.5,07/28/21,1
NOW,561.93,07/12/21,583.35,07/28/21,1
MSEX,91.01,07/15/21,103.9,08/02/21,0.5
CG,45.49,07/15/21,47.01,07/28/21,1
WMS,122.47,07/21/21,122.4,08/03/21,1
AVYA,24.14,07/23/21,22.74,08/06/21,1
OCGN,7.09,07/28/21,6.79,08/04/21,0.5
ATGE,36.63,08/02/21,35,08/20/21,1
RAD,18.44,08/24/21,13.9,09/08/21,1
NG,6.8,08/27/21,6.7,09/18/21,1
SSSS,13,09/27/21,13.5,10/25/21,1.25
