,SPY_price,BA_price,SJI_price,ATO_price,M_price,AIMC_price,ESS_price,SHW_price,PSB_price,WWD_price,PLCE_price,MATW_price,VLY_price,MSEX_price,OSK_price,ACLS_price,ALGT_price,PTEN_price,WMS_price,RAD_price,AFG_price,CG_price,CDNS_price,FFBC_price,TWST_price,EPR_price,CTAS_price,MAC_price,BXP_price,ISRG_price,MNRO_price,ECOL_price,VRTS_price,MDP_price,ESE_price,JWN_price,BLFS_price,KALU_price,NOW_price,SVC_price,SLB_price,MU_price,APH_price,WFC_price,UE_price,HWC_price,NEE_price,GRWG_price,BKR_price,NG_price,WLL_price,HELE_price,HLT_price,NWN_price,COUP_price,ARD_price,FUBO_price,EBAY_price,RCII_price,XOM_price,CLDX_price,WAL_price,OCGN_price,CCOI_price,NOVA_price,AVYA_price,NNN_price,DDS_price,KSS_price,AMCX_price,FRT_price,HIW_price,OMF_price,SPR_price,AWK_price,CCL_price,MDLA_price,TPX_price,AMD_price,AAPL_price,INDB_price,JBGS_price,LUMN_price,KLIC_price,CPB_price,ATGE_price,ABMD_price,SPT_price,ED_price,RGS_price,SPG_price,CVX_price,CLH_price,GBCI_price,OHI_price,HLNE_price,BAND_price,ROL_price,MDB_price,THO_price,GLPI_price,RAVN_price,PLYM_price,AAT_price,KOD_price,SSSS_price,CYH_price,UAL_price,BLKB_price,OKE_price,SAFT_price,FCN_price,LRN_price
2020-09-30,334.89,165.26,19.27,95.59,5.7,36.97,200.79,232.245,122.39,80.16,28.35,22.36,6.85,62.15,73.5,22.0,119.8,2.85,62.44,9.49,66.98,24.67,106.63,12.005,75.97,27.5,332.83,6.79,80.3,236.515,40.57,32.67,138.65,13.12,80.56,11.92,28.94,53.59,485.0,7.95,15.56,46.96,54.135,23.51,9.72,18.81,69.39,15.98,13.29,11.89,17.29,193.52,85.32,45.39,274.24,14.05,9.0,52.1,29.89,34.33,14.83,31.62,0.31,60.05,30.41,15.2,34.51,36.52,18.53,24.71,73.44,33.57,31.25,18.91,144.88,15.18,27.42,22.3,81.99,115.81,52.38,26.74,,22.4,48.37,24.54,277.06,38.5,77.8,6.14,64.68,72.0,56.03,32.05,29.94,64.59,174.57,36.125,231.51,95.26,36.93,21.52,12.34,24.09,59.21,10.84,4.22,34.75,55.83,25.98,69.09,105.97,26.34
2020-10-01,337.04,167.86,19.02,95.47,5.84,37.74,206.82,230.265,125.21,81.03,29.7,22.42,6.9,63.42,73.25,23.03,118.18,2.57,64.52,9.61,68.95,24.88,108.63,12.07,77.87,27.89,341.93,7.01,82.83,236.84,41.71,32.57,138.3,12.89,81.76,12.6,29.42,54.18,492.52,8.28,15.01,47.92,54.895,23.56,10.19,19.09,70.69,15.37,12.76,11.5,16.17,199.69,87.22,44.77,279.84,14.17,10.72,52.38,30.27,33.13,14.99,31.92,0.3033,60.48,30.11,16.22,35.59,36.96,19.46,24.26,76.05,34.4,32.19,19.62,148.57,15.03,28.05,22.43,84.86,116.79,52.15,27.32,,22.7,48.52,24.57,260.45,38.86,79.04,6.23,66.53,70.42,56.37,32.18,31.09,65.45,179.95,35.875,235.78,98.61,38.18,21.27,12.56,24.8,62.07,9.64,4.32,35.18,55.45,25.27,67.68,106.85,27.05
2020-10-02,333.84,168.08,19.71,96.02,6.01,38.32,212.1,229.66,126.84,81.85,30.11,23.21,7.09,63.02,74.44,22.25,119.65,2.57,63.02,9.66,69.73,25.3,105.32,12.34,77.31,28.63,335.05,7.41,85.27,232.095,42.33,33.43,142.41,13.15,82.59,12.8,28.6,55.07,493.15,8.45,15.57,46.55,54.68,23.99,10.5,19.63,70.295,15.18,12.65,11.1,16.89,199.83,87.96,45.48,277.59,14.05,12.09,51.68,31.0,32.98,14.99,33.05,0.309,60.4,28.57,16.89,36.69,37.94,19.96,24.05,78.43,35.18,33.34,19.7,148.96,15.16,27.22,22.89,81.8,113.02,52.89,27.62,,21.89,48.81,24.58,261.99,38.14,79.77,6.38,68.2,71.19,57.88,33.59,31.67,66.14,181.25,36.315,234.32,99.92,37.81,21.67,12.63,25.45,60.78,9.21,4.44,36.01,54.23,26.53,67.88,108.0,26.74
2020-10-05,339.76,171.2,19.69,95.22,6.06,39.61,213.4,229.865,127.1,83.95,31.02,23.7,7.39,63.18,77.1,23.26,117.66,2.62,65.0,9.74,70.6,26.02,107.46,13.11,82.34,25.4,336.4,7.47,84.5,235.9,43.01,33.81,148.46,13.12,84.44,13.32,29.04,56.44,501.79,8.45,16.07,47.6,55.765,24.45,10.53,21.09,71.98,16.18,12.96,11.14,17.62,207.19,89.3,45.3,282.92,14.19,13.5,51.77,32.83,33.74,15.2,34.47,0.3329,63.13,28.73,17.93,36.67,39.14,20.42,23.69,78.55,35.51,34.39,19.05,151.89,14.96,28.05,22.94,86.15,116.5,54.31,27.84,,23.2,48.98,25.29,270.69,39.08,79.93,6.53,68.76,72.7,58.29,34.77,31.64,68.14,182.21,37.12,238.69,103.22,37.52,21.74,12.66,25.63,62.43,9.09,4.85,36.2,55.71,27.61,68.4,110.53,28.94
2020-10-06,334.93,159.54,20.42,96.98,5.81,40.43,210.77,227.46,127.82,82.84,29.04,23.71,7.41,62.94,76.16,22.94,112.73,2.69,65.67,9.67,70.6,25.77,105.52,13.23,85.11,24.39,330.72,7.44,82.94,233.005,42.31,33.55,145.68,12.9,84.13,12.9,29.5,54.81,491.54,8.38,15.67,47.32,55.07,24.18,10.45,21.18,72.57,16.03,12.76,10.97,17.25,203.31,89.6,46.48,288.1,13.61,12.925,49.66,31.92,33.39,18.16,34.89,0.3279,61.65,28.05,17.44,36.28,40.08,19.49,23.63,78.4,35.49,34.35,18.5,152.49,15.19,28.88,22.215,84.48,113.16,55.36,27.61,,23.92,48.58,26.09,264.82,41.76,80.76,6.72,69.98,72.3,57.79,34.98,31.64,67.15,184.78,37.335,246.41,101.97,37.41,22.03,12.43,25.41,64.33,9.11,4.76,34.88,56.75,27.06,67.28,111.26,29.04
2020-10-07,340.76,164.61,20.24,96.38,5.96,40.9,210.41,230.6,127.1,84.82,30.81,23.89,7.58,63.35,78.17,23.13,116.33,2.835,67.25,10.31,71.6,25.92,108.44,13.6,87.46,24.39,335.7,7.62,82.38,240.095,43.34,34.02,144.2,12.83,84.35,13.11,29.41,57.96,500.0,8.37,15.95,48.41,56.515,24.81,10.47,22.01,74.28,17.36,12.97,10.96,17.86,205.0,91.72,46.3,294.86,13.48,12.2,50.94,32.53,33.5,18.22,36.71,0.3311,62.29,28.99,18.3,35.56,41.12,20.64,23.89,77.65,35.24,35.46,19.21,154.51,15.99,30.28,22.02,86.69,115.08,55.34,27.42,,23.88,48.25,26.19,268.54,44.42,80.83,6.96,71.03,73.78,58.85,35.4,31.22,68.07,171.57,38.075,253.11,103.45,37.53,22.22,12.23,24.71,67.26,9.22,4.64,36.38,57.68,27.81,67.79,111.76,29.83
2020-10-08,343.78,168.0,20.61,96.79,6.29,40.72,215.98,229.425,128.69,86.2,30.49,24.57,7.7,64.32,78.62,23.49,121.78,3.04,67.91,10.28,72.94,26.7,109.32,13.84,86.97,25.33,337.98,7.74,84.17,241.005,44.21,34.48,154.27,13.16,85.2,14.17,28.58,59.94,496.5,8.62,16.43,49.9,56.75,25.3,10.66,22.44,75.26,17.89,13.38,11.02,19.13,194.5,92.54,46.89,291.38,13.57,10.26,52.08,32.83,35.26,17.01,37.25,0.3388,62.23,28.02,18.95,36.39,41.88,21.89,24.0,79.72,35.83,36.14,19.82,155.85,15.61,30.28,22.275,86.51,114.97,55.72,27.8,,24.55,48.42,26.92,271.2,45.52,82.27,7.17,70.07,75.22,59.07,36.0,31.68,67.74,173.82,38.015,252.86,97.7,38.24,22.6,12.52,25.78,69.36,9.21,4.64,37.0,59.0,29.41,68.0,111.75,29.57
2020-10-09,346.85,167.33,20.33,96.51,6.23,40.21,215.45,232.8,128.48,86.74,28.42,24.6,7.58,64.28,78.37,23.78,124.41,2.96,69.47,10.07,73.4,26.8,111.93,13.69,89.64,24.76,339.53,7.52,82.78,246.065,44.24,33.99,155.61,12.86,85.83,13.86,29.02,62.77,508.61,8.31,16.23,49.89,56.745,25.3,10.65,22.03,75.73,18.06,13.2,11.4,18.71,198.11,91.37,46.91,304.35,13.77,10.07,55.45,34.25,34.74,17.13,37.55,0.3565,62.73,29.36,18.55,35.98,42.08,21.53,23.75,78.38,35.35,36.41,19.42,155.75,15.69,32.15,22.535,83.1,116.97,55.04,27.62,,25.08,48.47,26.63,273.56,46.95,82.55,7.0,67.72,74.0,58.87,35.5,31.05,69.83,178.12,38.315,259.07,96.59,38.28,22.69,12.57,26.17,71.25,9.02,4.89,37.12,59.93,29.05,68.33,112.17,30.44
2020-10-12,352.43,167.35,20.41,96.61,6.21,39.895,216.95,234.125,129.9,86.52,27.0,24.57,7.72,67.04,79.57,24.32,127.95,2.935,71.49,9.81,75.65,26.89,115.56,14.06,90.33,24.74,349.0,7.52,82.7,251.89,44.74,35.07,156.53,12.8,86.73,13.57,28.13,61.44,509.09,8.26,16.12,50.68,57.38,25.68,10.71,22.31,76.42,17.67,13.13,11.41,18.29,200.83,91.35,46.98,306.95,14.11,9.86,55.38,33.99,34.63,16.89,37.67,0.339,65.05,28.35,18.57,36.05,53.45,21.26,24.58,78.82,35.7,36.3,19.57,158.32,15.21,31.38,23.02,84.29,124.4,54.99,27.77,,25.18,49.12,26.39,277.85,48.56,82.89,7.25,68.02,74.51,60.05,36.13,31.36,69.57,187.53,38.945,263.2,94.99,38.08,23.54,12.79,26.16,72.94,8.56,4.58,36.38,59.05,29.17,69.85,114.75,30.46
2020-10-13,350.13,162.14,20.18,95.41,6.13,39.86,209.49,232.395,127.08,85.12,27.02,24.15,7.43,65.52,78.64,24.88,127.58,2.79,71.1,9.74,71.39,26.77,116.77,13.5,92.81,22.42,352.68,7.25,79.76,251.785,43.46,34.49,156.15,12.67,86.27,13.36,27.87,60.0,518.3,7.88,15.73,51.85,56.49,24.74,10.33,21.49,75.37,18.41,12.86,11.02,17.69,201.71,88.64,47.05,313.72,13.98,9.71,57.59,33.93,34.22,17.15,37.35,0.3305,63.57,28.44,18.35,35.3,46.68,20.6,24.45,76.93,34.66,36.16,18.66,156.08,14.03,31.28,23.265,85.28,121.1,53.21,26.75,,27.47,49.61,26.45,276.95,48.33,82.32,7.11,65.82,73.4,59.39,34.68,30.93,69.0,193.08,39.16,268.15,95.49,37.8,24.43,12.74,25.03,76.48,8.46,4.48,35.26,57.92,29.45,68.21,114.28,30.99
2020-10-14,347.93,163.24,20.15,95.04,6.12,40.74,206.89,231.33,123.23,84.79,27.46,23.34,7.32,64.65,78.44,24.28,128.97,2.865,70.89,9.67,70.16,26.85,116.97,13.21,90.2,21.77,351.19,7.17,79.61,250.36,42.5,34.44,158.85,12.5,86.35,13.21,28.1,61.92,516.89,7.74,15.95,51.63,56.74,23.25,10.07,21.23,75.16,17.44,13.15,11.07,17.31,200.4,88.3,46.46,312.06,14.19,9.32,56.46,32.91,34.15,16.33,37.06,0.334,62.08,29.64,18.0,34.69,46.09,20.64,23.74,75.64,33.65,36.03,18.57,155.76,13.97,31.25,23.58,84.21,121.19,51.58,26.12,,26.92,49.46,26.93,280.84,49.13,82.24,7.06,65.72,72.95,59.12,33.76,30.71,68.47,190.51,39.195,265.19,94.54,37.41,25.52,12.62,24.36,74.9,8.32,4.49,35.61,56.74,29.95,67.51,113.44,30.2
2020-10-15,347.5,164.24,19.97,94.5,6.27,40.5,204.69,229.335,122.66,85.93,27.24,23.53,7.57,65.78,79.47,24.12,130.29,2.84,71.22,10.03,71.71,27.27,115.96,13.65,99.89,22.0,348.38,7.37,79.5,247.0,43.28,34.51,162.73,12.04,87.24,13.46,27.5,63.11,520.68,7.85,16.42,51.94,57.18,22.95,10.27,21.9,74.615,17.32,13.45,11.02,17.84,201.89,88.68,46.49,306.0,14.03,10.79,55.4,33.77,34.45,15.44,37.42,0.325,62.32,28.37,19.1,34.72,46.17,20.66,22.62,76.18,33.97,35.77,18.67,155.86,14.02,30.43,23.81,83.13,120.71,52.37,26.25,,26.93,49.16,27.4,283.57,47.54,81.74,7.09,65.12,73.51,59.53,34.88,30.93,68.29,188.82,39.645,269.87,96.56,38.61,25.95,12.6,24.6,76.07,8.26,4.76,34.25,57.62,29.82,68.28,114.01,30.09
2020-10-16,347.29,167.35,19.8,94.49,6.16,40.82,202.04,231.775,118.89,85.19,24.92,23.35,7.57,66.88,80.05,23.63,130.09,2.65,70.92,9.87,71.17,27.68,115.69,13.54,94.92,21.55,348.4,7.27,77.67,250.895,42.11,33.68,164.91,11.86,87.85,12.93,28.17,65.06,524.87,7.8,14.97,51.61,57.58,22.86,9.93,21.62,76.4,17.39,13.14,11.0,16.83,193.69,89.5,46.31,307.18,14.04,12.01,55.83,33.66,34.1,15.76,37.51,0.3164,61.07,29.0,18.68,34.19,50.89,20.21,23.275,74.37,33.27,35.74,19.23,155.72,14.08,31.18,23.585,83.17,119.02,52.94,25.97,,26.85,48.94,26.6,286.48,50.29,81.7,7.23,64.82,72.89,58.73,35.03,30.54,67.99,185.34,39.845,267.3,95.23,37.92,24.31,12.58,24.16,76.49,8.42,5.09,34.16,58.06,28.9,68.68,114.59,29.36
2020-10-19,342.01,167.11,19.6,94.24,6.1,39.54,199.06,227.275,115.15,84.04,24.66,23.07,7.48,67.33,80.7,23.37,132.56,2.615,70.37,9.95,70.79,27.7,113.56,13.41,93.0,21.88,341.32,7.26,76.0,245.375,41.48,33.33,163.11,11.54,87.04,12.17,27.69,65.43,521.95,7.79,15.01,52.63,56.55,22.54,9.84,21.62,74.89,18.38,13.11,10.98,16.43,192.68,87.55,45.35,301.965,13.92,11.97,54.32,33.15,33.42,16.2,37.02,0.3139,59.45,29.97,19.05,33.63,48.85,19.37,23.0,73.41,32.39,35.66,19.18,154.52,14.15,31.48,23.03,82.0,115.98,51.33,25.3,,27.01,48.63,26.32,281.47,48.54,80.79,7.0,63.91,71.28,58.19,34.66,29.41,67.71,183.02,39.48,265.24,93.77,37.09,23.87,12.51,23.6,77.51,8.16,4.94,35.5,58.09,28.29,67.68,113.44,29.01
2020-10-20,343.38,167.24,19.87,94.28,6.34,39.39,199.85,224.975,115.59,84.21,24.73,23.46,7.63,66.47,80.05,23.27,134.42,2.68,69.92,9.82,72.06,27.64,112.61,13.715,88.76,23.0,343.66,7.15,76.14,244.335,43.0,33.78,166.74,11.61,87.19,12.31,29.2,64.53,518.19,8.0,15.49,53.53,57.3,22.81,9.89,22.38,75.25,18.0,13.63,10.88,16.11,198.5,89.57,45.91,300.39,14.56,12.2,54.2,33.01,33.7,16.28,38.27,0.3225,58.7,30.77,19.06,33.84,46.52,20.65,23.14,74.16,32.55,36.82,19.5,153.15,14.61,30.84,22.935,81.56,117.51,51.94,25.47,,27.0,47.67,26.83,277.53,49.05,80.6,6.67,64.46,71.68,58.0,34.76,30.06,68.89,171.47,39.835,256.68,96.19,37.42,23.8,12.82,23.88,78.0,8.51,4.83,36.06,58.24,28.92,68.16,110.92,29.15
2020-10-21,342.73,163.86,20.03,95.54,6.52,39.34,199.93,224.69,115.06,81.61,25.71,23.58,7.64,67.43,78.0,23.05,132.48,2.61,67.05,9.54,73.73,27.43,111.23,13.85,86.23,23.78,338.69,7.17,76.05,242.825,42.95,34.02,166.75,11.52,87.82,12.45,28.15,63.62,510.28,7.99,15.01,53.31,57.47,22.7,9.97,23.1,74.42,19.09,14.04,10.89,15.67,199.06,88.97,47.52,294.61,14.6,12.5,52.82,32.07,33.16,16.69,38.78,0.315,58.22,26.74,18.99,34.2,46.03,22.04,24.51,73.77,32.68,35.29,18.94,152.25,14.48,29.98,22.15,79.2,116.87,52.34,25.34,,27.17,47.75,26.87,272.6,48.74,80.33,6.65,64.21,70.87,56.04,35.26,30.01,69.99,171.01,39.475,248.84,90.26,38.05,23.71,12.74,23.99,78.78,8.21,4.81,35.54,58.26,28.43,69.08,110.89,28.47
2020-10-22,344.61,169.07,20.53,96.64,7.01,40.45,202.52,226.0,116.45,83.98,27.68,23.85,8.06,68.61,78.1,23.28,141.04,2.81,65.89,9.72,75.72,27.66,109.32,14.54,87.06,24.82,338.5,7.41,77.22,244.315,45.07,34.11,169.0,11.85,88.33,13.57,28.58,64.45,505.96,8.42,15.3,54.38,59.255,23.25,10.23,24.24,75.57,20.52,14.46,10.62,16.3,201.82,94.39,47.18,298.11,16.33,12.4,52.29,32.3,34.86,16.49,40.45,0.32,57.45,26.57,18.71,34.63,47.42,23.1,23.91,75.29,33.44,36.5,20.07,153.61,15.19,31.48,22.205,79.42,115.75,55.52,25.8,,27.13,47.91,27.24,278.5,46.85,81.44,6.69,66.35,73.4,56.46,35.88,30.32,70.52,161.09,39.635,245.75,90.61,39.22,23.92,13.01,24.34,84.81,8.36,4.8,37.24,58.53,30.67,69.77,109.61,28.93
2020-10-23,345.78,167.36,20.48,97.69,7.23,44.82,203.23,227.77,118.33,86.86,28.22,24.17,8.08,69.7,78.42,23.04,142.28,2.89,66.26,9.99,75.81,27.46,112.05,14.5,85.97,25.85,338.07,7.49,77.67,245.16,45.56,34.61,177.56,12.47,88.74,14.33,29.02,63.92,514.01,8.18,15.4,52.85,59.875,23.28,10.5,23.9,75.77,20.62,14.29,10.76,16.54,207.11,94.61,47.02,302.0,16.44,13.49,53.79,32.76,34.16,16.32,42.15,0.3234,57.67,26.86,17.99,35.2,48.44,23.97,23.36,76.72,33.52,37.76,20.48,154.08,15.36,32.07,22.16,81.96,115.04,58.12,25.85,,26.91,48.55,26.93,281.42,47.55,81.6,6.51,66.88,72.57,58.94,37.13,30.93,71.3,162.37,40.135,248.0,88.23,39.2,23.95,13.21,24.37,96.63,8.25,4.92,38.01,57.36,30.55,70.59,108.57,28.7
