date,vix,spy,spyv,rate10y,rate3m,dxy,oil
02.01.2002,22.71,115.53,18652200,5.16,1.736,115.79,21.01
03.01.2002,21.34,116.84,15743100,5.111,1.716,116.11,20.37
04.01.2002,20.45,117.62,20140700,5.128,1.715,116.33,21.62
07.01.2002,21.94,116.79,13106500,5.049,1.685,116.33,21.48
08.01.2002,21.83,116.52,12687200,5.08,1.675,116.83,21.25
09.01.2002,22.13,115.57,16616900,5.051,1.665,117.01,20.18
10.01.2002,22.36,116.08,12823400,4.979,1.675,116.88,20.38
11.01.2002,22.60,114.94,13708500,4.866,1.552,116.64,19.68
14.01.2002,23.58,114.22,12304300,4.876,1.572,116.64,18.89
15.01.2002,22.70,115.15,20221400,4.835,1.593,117.29,18.9
16.01.2002,23.45,112.82,17077200,4.839,1.603,117.59,18.86
17.01.2002,22.25,113.67,17707900,4.925,1.624,117.85,17.97
18.01.2002,22.52,113.15,17028200,4.894,1.613,117.64,18
22.01.2002,23.61,112.29,11472400,4.919,1.705,117.7,18.34
23.01.2002,21.88,113.23,12439100,5.029,1.695,118.43,19.5
24.01.2002,21.15,113.58,12163100,5.008,1.716,118.64,19.7
25.01.2002,21.01,113.55,12810700,5.071,1.705,119.85,19.99
28.01.2002,21.14,113.86,10589500,5.073,1.726,120.04,20.05
29.01.2002,24.35,110.28,27736100,4.942,1.706,119.62,19.58
30.01.2002,23.22,111.87,34712000,5.014,1.757,119.76,19.08
31.01.2002,21.09,113.18,19910100,5.033,1.757,120.21,19.48
01.02.2002,21.12,112.65,15838500,4.985,1.756,119.69,20.38
04.02.2002,24.87,109.85,24247500,4.902,1.756,118.95,20.07
05.02.2002,25.45,109.17,33614000,4.894,1.757,119.41,20.07
06.02.2002,26.09,108.70,29670400,4.923,1.736,119.52,19.78
07.02.2002,25.11,108.02,23450200,4.939,1.726,119.16,19.64
08.02.2002,23.26,110.09,19278100,4.879,1.705,118.98,20.26
11.02.2002,21.78,111.44,18792400,4.907,1.736,118.44,21.41
12.02.2002,21.62,111.09,13942500,4.975,1.746,118.25,20.73
13.02.2002,20.85,112.27,16791900,4.987,1.746,118.83,21.18
14.02.2002,21.77,112.06,20458200,4.945,1.746,118.4,21.23
15.02.2002,22.37,110.89,18394600,4.875,1.736,118.55,21.5
19.02.2002,24.43,108.76,15998300,4.873,1.736,118.33,20.88
20.02.2002,22.66,110.59,29247100,4.889,1.757,118.93,20.29
21.02.2002,23.80,108.30,26292800,4.853,1.757,119.16,20.95
22.02.2002,22.86,109.64,26572900,4.831,1.767,118.48,21.07
25.02.2002,21.84,111.45,17459600,4.849,1.766,119.13,20.48
26.02.2002,21.68,111.22,22362900,4.927,1.767,119.82,21.41
27.02.2002,21.49,111.65,28597900,4.833,1.757,119.53,21.29
28.02.2002,21.59,111.15,23755500,4.877,1.757,119.16,21.74
01.03.2002,19.96,113.74,26186600,4.981,1.777,119.4,22.4
04.03.2002,20.50,115.75,27187800,4.999,1.787,118.81,22.45
05.03.2002,20.30,115.38,22733500,5.001,1.787,118.57,23.17
06.03.2002,19.94,116.75,20169700,5.052,1.767,117.96,23.15
07.03.2002,20.04,116.50,19331900,5.227,1.787,116.8,23.71
08.03.2002,19.27,116.99,19930800,5.325,1.797,117.99,23.84
11.03.2002,19.84,117.24,15622100,5.323,1.828,117.78,24.31
12.03.2002,19.59,117.17,17155000,5.31,1.839,117.8,24.2
13.03.2002,19.46,116.04,17176600,5.279,1.818,117.96,24.16
14.03.2002,19.20,115.88,11169600,5.409,1.849,117.29,24.56
15.03.2002,18.42,116.65,21222100,5.327,1.848,117.18,24.51
18.03.2002,18.93,116.67,17558000,5.3,1.858,117.46,25.11
19.03.2002,18.16,117.45,17913600,5.286,1.839,117.6,24.88
20.03.2002,18.46,115.24,17128200,5.406,1.838,117.22,24.9
21.03.2002,18.15,115.29,26888800,5.365,1.818,117.52,25.61
22.03.2002,17.77,115.04,15235400,5.404,1.838,118.05,25.35
25.03.2002,18.48,113.61,17507200,5.408,1.807,118.1,24.99
26.03.2002,18.13,114.27,19950600,5.343,1.828,118.14,25.36
27.03.2002,17.70,114.57,19021400,5.341,1.798,118.54,25.87
28.03.2002,17.40,114.52,17535900,5.4,1.787,118.62,26.31
01.04.2002,18.73,114.57,17714000,5.425,1.777,117.77,26.88
02.04.2002,19.16,113.94,15596700,5.341,1.808,117.92,27.71
03.04.2002,20.20,113.14,25662700,5.278,1.787,117.68,27.56
04.04.2002,19.78,112.67,23561400,5.258,1.787,117.94,26.58
05.04.2002,19.13,112.69,19404900,5.206,1.756,117.69,26.21
08.04.2002,19.61,112.93,16476200,5.262,1.746,118.2,26.54
09.04.2002,19.47,112.14,15122700,5.202,1.706,117.56,25.82
10.04.2002,18.19,113.41,17204500,5.233,1.705,117.56,26.13
11.04.2002,20.30,110.59,25460200,5.206,1.705,117.37,24.99
12.04.2002,19.42,111.42,14950600,5.156,1.705,117.74,23.47
15.04.2002,19.82,110.57,17403600,5.138,1.705,117.73,24.57
16.04.2002,18.11,113.20,15098400,5.192,1.736,117.37,24.75
17.04.2002,18.43,112.96,12928600,5.233,1.716,116.6,25.94
18.04.2002,19.29,112.47,25219800,5.198,1.726,116.39,26.18
19.04.2002,18.30,112.88,10602500,5.198,1.726,116.29,26.38
22.04.2002,19.77,111.00,13924500,5.178,1.715,116.44,26.27
23.04.2002,20.28,110.52,16973800,5.163,1.726,116.57,26.62
24.04.2002,20.77,109.41,18903900,5.113,1.716,116.15,26.38
25.04.2002,20.95,109.47,25456900,5.095,1.736,115.45,26.73
26.04.2002,22.14,107.39,19770000,5.056,1.736,115.04,27.11
29.04.2002,24.05,106.86,17725600,5.122,1.766,114.89,27.57
30.04.2002,21.91,107.86,19475300,5.087,1.767,115.19,27.29
